"x,y,z"
"0,0,0"
"0.00,0.00,10.00"
"0.00,0.00,20.00"
"0.00,0.00,30.00"
"0.00,0.00,40.00"
"0.00,0.00,50.00"
"0.00,0.00,60.00"
"0.00,0.00,70.00"
"0.00,0.00,80.00"
"0.00,0.00,90.00"
"0.00,0.00,100.00"
"0.00,0.00,110.00"
"0.00,0.00,120.00"
"0.00,0.00,130.00"
"0.00,0.00,140.00"
"0.00,0.00,150.00"
"0.00,0.00,160.00"
"0.00,0.00,170.00"
"0.00,0.00,180.00"
"0.00,0.00,190.00"
"0.00,0.00,200.00"
"0.00,0.00,210.00"
"0.00,0.00,220.00"
"0.00,0.00,230.00"
"0.00,0.00,240.00"
"0.00,0.00,250.00"
"0.00,0.00,260.00"
"0.00,0.00,270.00"
"0.00,0.00,280.00"
"0.00,0.00,290.00"
"0.00,0.00,300.00"
"0.00,0.00,310.00"
"0.00,0.00,320.00"
"0.00,0.00,330.00"
"0.00,0.00,340.00"
"0.00,0.00,350.00"
"0.00,0.00,360.00"
"0.00,0.00,370.00"
"0.00,0.00,380.00"
"0.00,0.00,390.00"
"0.00,0.00,400.00"
"0.00,0.00,410.00"
"0.00,0.00,420.00"
"0.00,0.00,430.00"
"0.00,0.00,440.00"
"0.00,0.00,450.00"
"0.03,0.07,460.00"
"0.03,0.16,470.00"
"0.17,0.19,480.00"
"0.28,0.17,489.99"
"0.37,0.22,499.99"
"0.46,0.35,509.99"
"0.57,0.56,519.99"
"0.68,0.89,529.98"
"0.77,1.35,539.97"
"0.81,1.90,549.96"
"0.87,2.53,559.94"
"1.03,3.22,569.91"
"1.33,3.98,579.88"
"1.79,4.79,589.83"
"2.42,5.64,599.78"
"3.21,6.52,609.71"
"4.13,7.45,619.62"
"5.13,8.42,629.52"
"6.17,9.46,639.41"
"7.23,10.57,649.30"
"8.31,11.75,659.17"
"9.44,12.99,669.02"
"10.63,14.29,678.87"
"11.90,15.62,688.70"
"13.26,16.99,698.51"
"14.70,18.41,708.30"
"16.19,19.87,718.08"
"17.75,21.38,727.84"
"19.35,22.96,737.59"
"20.99,24.59,747.32"
"22.66,26.24,757.04"
"24.36,27.89,766.75"
"26.11,29.60,776.45"
"27.91,31.37,786.12"
"29.74,33.20,795.79"
"31.59,35.02,805.44"
"33.49,36.86,815.09"
"35.44,38.75,824.71"
"37.46,40.70,834.31"
"39.56,42.71,843.88"
"41.73,44.73,853.43"
"43.96,46.77,862.96"
"46.17,48.91,872.47"
"48.36,51.17,881.96"
"50.55,53.56,891.42"
"52.82,56.11,900.82"
"55.19,58.81,910.16"
"57.64,61.63,919.43"
"60.17,64.55,928.65"
"62.75,67.51,937.85"
"65.36,70.51,947.03"
"67.98,73.52,956.20"
"70.61,76.50,965.37"
"73.28,79.47,974.54"
"75.96,82.42,983.71"
"78.65,85.34,992.89"
"81.35,88.26,1002.06"
"84.04,91.20,1011.23"
"86.74,94.16,1020.40"
"89.45,97.09,1029.57"
"92.19,99.98,1038.74"
"94.96,102.86,1047.91"
"97.74,105.74,1057.07"
"100.51,108.63,1066.24"
"103.24,111.54,1075.40"
"105.92,114.48,1084.58"
"108.60,117.43,1093.75"
"111.29,120.35,1102.93"
"113.98,123.23,1112.12"
"116.67,126.07,1121.32"
"119.36,128.86,1130.54"
"122.04,131.62,1139.77"
"124.73,134.34,1149.01"
"127.40,137.03,1158.26"
